Altium Designer Pick and Place Locations
E:\git_repo\USB_Oscope_STM32_H7232ZG\Altium\USB_Oscilloscope_Project\Project Outputs for Free Documents\Pick Place\Pick Place for USB_Oscilloscope.txt

========================================================================================================================
File Design Information:

Date:       02/09/26
Time:       21:35
Revision:   6d054cb0949233a85040d1abbc3744042ee04106
Variant:    No variations
Units used: mil

Designator Comment                Layer    Footprint                           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                       
R38        0805W8F0000T5E_C17477  TopLayer R0805                               2021.704      1537.401      0        "Type:Thick Film Resistor Resistance:0次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣800ppm/⊥ Temperature Coefficient:㊣800ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"            
R37        0805W8F0000T5E_C17477  TopLayer R0805                               1876.772      1520.846      270      "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R36        FRC0805F3402TS         TopLayer R0805                               3243.701      1037.352      270      "Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R35        0805W8F0000T5E_C17477  TopLayer R0805                               2005.512      975.964       270      "Type:Thick Film Resistors Resistance:20k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"   
R34        0805W8F0000T5E_C17477  TopLayer R0805                               1883.050      1049.606      180      "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R33        RT0805BRD0710K1L       TopLayer R0805                               2008.662      1135.020      270      "Type:Thick Film Resistor Resistance:5.76k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R32        RT0805BRD0710K1L       TopLayer R0805                               1937.402      1694.074      90       "Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R31        0805W8F0000T5E_C17477  TopLayer R0805                               1999.606      2085.413      90       "Type:Thick Film Resistors Resistance:20k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"   
R30        0805W8F0000T5E_C17477  TopLayer R0805                               1885.453      1959.055      180      "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R29        RT0805BRD0710K1L       TopLayer R0805                               2008.268      1897.224      90       "Type:Thick Film Resistor Resistance:5.76k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R27        RT0805BRD0710K1L       TopLayer R0805                               3049.999      1052.706      270      "Type:Thick Film Resistor Resistance:3.01k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R26        RT0805BRD0710K1L       TopLayer R0805                               3223.622      1833.050      90       "Type:Thick Film Resistor Resistance:3.01k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R25        0805W8F0000T5E_C17477  TopLayer R0805                               3038.582      866.093       270      "Type:Thick Film Resistor Resistance:7.68k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R24        0805W8F0000T5E_C17477  TopLayer R0805                               2954.330      1251.202      270      "Type:Thick Film Resistor Resistance:18.7k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R23        RT0805BRD0710K1L       TopLayer R0805                               2807.894      1288.976      0        "Type:Thin Film Resistor Resistance:10.1k次 Tolerance:㊣0.1% Tolerance:㊣0.1% Power(Watts):125mW Temperature Coefficient:㊣25ppm/⊥ Temperature Coefficient:㊣25ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"                                
R22        RT0805BRD0710K1L       TopLayer R0805                               2450.788      932.658       270      "Type:Thick Film Resistor Resistance:6.98k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R21        RT0805BRD0710K1L       TopLayer R0805                               2450.000      1101.162      90       "Type:Thick Film Resistor Resistance:3.57k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R20        RT0805BRD0710K1L       TopLayer R0805                               917.302       667.322       180      "Type:Thick Film Resistor Resistance:1.5k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"         
R19        0805W8F0000T5E_C17477  TopLayer R0805                               2783.071      1545.689      90       "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R18        FRC0805F3402TS         TopLayer R0805                               3087.422      1778.740      180      "Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R17        FRC0805F3402TS         TopLayer R0805                               3087.422      1870.472      180      "Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R16        0805W8F0000T5E_C17477  TopLayer R0805                               3215.353      1635.777      270      "Type:Thick Film Resistor Resistance:7.68k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R15        0805W8F0000T5E_C17477  TopLayer R0805                               2947.638      1996.830      270      "Type:Thick Film Resistor Resistance:18.7k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R14        RT0805BRD0710K1L       TopLayer R0805                               2798.446      2016.142      180      "Type:Thin Film Resistor Resistance:10.1k次 Tolerance:㊣0.1% Tolerance:㊣0.1% Power(Watts):125mW Temperature Coefficient:㊣25ppm/⊥ Temperature Coefficient:㊣25ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"                                
R13        RT0805BRD0710K1L       TopLayer R0805                               2454.724      1704.704      270      "Type:Thick Film Resistor Resistance:6.98k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R12        RT0805BRD0710K1L       TopLayer R0805                               2454.724      1878.296      270      "Type:Thick Film Resistor Resistance:3.57k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"        
R11        RT0805BRD0710K1L       TopLayer R0805                               1214.960      927.216       90       "Type:Thick Film Resistor Resistance:910k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"         
R10        0805W8F0000T5E_C17477  TopLayer R0805                               1212.992      750.838       90       "Type:Thick Film Resistor Resistance:100k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"         
R9         RT0805BRD0710K1L       TopLayer R0805                               1081.890      1144.468      90       "Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R8         0805W8F0000T5E_C17477  TopLayer R0805                               1716.516      1053.544      180      "Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"    
R7         RT0805BRD0710K1L       TopLayer R0805                               1716.516      1147.638      180      "Type:Thick Film Resistor Resistance:1M次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"           
R6         RT0805BRD0710K1L       TopLayer R0805                               928.366       1486.220      180      "Type:Thick Film Resistor Resistance:1.5k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"         
R5         0805W8F0000T5E_C17477  TopLayer R0805                               1716.516      1984.252      180      "Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"    
R4         0805W8F0000T5E_C17477  TopLayer R0805                               1212.992      1678.760      90       "Type:Thick Film Resistor Resistance:100k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"         
R3         RT0805BRD0710K1L       TopLayer R0805                               1212.992      1859.428      90       "Type:Thick Film Resistor Resistance:910k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"         
R2         RT0805BRD0710K1L       TopLayer R0805                               1079.134      1989.350      90       "Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R1         RT0805BRD0710K1L       TopLayer R0805                               1716.516      2072.834      180      "Type:Thick Film Resistor Resistance:1M次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"           
Q3         2N7002LT1G             TopLayer ONSC-SOT-23-3-318-08_V              3673.228      1490.158      90       "Small Signal MOSFET, 60 V, 115 mA, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"                                                                                                                                                                              
Q2         2N7002LT1G             TopLayer ONSC-SOT-23-3-318-08_V              1231.890      271.654       180      "Small Signal MOSFET, 60 V, 115 mA, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"                                                                                                                                                                              
Q1         2N7002LT1G             TopLayer ONSC-SOT-23-3-318-08_V              1586.614      224.803       270      "Small Signal MOSFET, 60 V, 115 mA, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"                                                                                                                                                                              
J4         PZ2.54-2*15            TopLayer HDR-TH_30P-P2.54-V-M-R2-C15-S2.54-2 1884.646      2277.952      180      "Pin Structure:2x15P Pitch:2.54mm Row Spacing:2.54mm Circluar Pins/Square Pins:Pin Header Mounting Type:Through Hole Number of Rows:2 Number of Pins:30P Current Rating:2.5A Length of Mating Pin:6mm Insulation Height:2.54mm Length of End Connection Pin:3mm"  
J3         2.54-2*17              TopLayer HDR-TH_34P-P2.54-V-M-R2-C17-S2.54-2 1984.646      477.952       180      "2.54mm pitch, 2 rows, 2*17, 34 pins total"                                                                                                                                                                                                                       
J2         2.54-2*8P渀_C68234      TopLayer HDR-TH_16P-P2.54-V-M-R2-C8-S2.54    3135.826      2275.196      180      "Pin Structure:2x8P Pitch:2.54mm Row Spacing:2.54mm Circluar Pins/Square Pins:Pin Header Mounting Type:Through Hole Number of Rows:2 Number of Pins:16P Current Rating:3A Voltage Rating (Max):- Length of Mating Pin:5.9mm Insulation Height:2.54mm Length of E" 
