Altium Designer Pick and Place Locations
E:\git_repo\USB_Oscope_STM32_H7232ZG\Altium\USB_Oscilloscope_Project\Project Outputs for USB_Oscilloscope\Pick Place\Pick Place for USB_Oscilloscope.csv

========================================================================================================================
File Design Information:

Date:       02/09/26
Time:       22:21
Revision:   6d054cb0949233a85040d1abbc3744042ee04106
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U6","PGA113AIDGSR","TopLayer","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL","56.0000","24.4487","270","Amplifier Type:PGA Number of Channels:2 Rail to Rail:Rail-to-Rail Input˙Rail-to-Rail Output Output Current:60mA Current - Supply:1.1mA Operating Temperature:-40⊥~+125⊥ Operating Temperature:-40⊥~+125⊥ Vos - Input Offset Voltage:100uV Input Offset Voltage"
"U5","TPH2504-TR","TopLayer","TSOP65P640X120-14N","71.8600","25.5600","0","Operational Amplifier, 4 Func, 5000uV Offset-Max, CMOS, PDSO14"
"U4","AQY282SX","TopLayer","SOP-4_L4.3-W4.4-P2.54-LS7.0-BL","23.1400","23.5300","0","Contact Form:SPST-NO(1 Form A) Load Current:500mA Load Voltage:60V Load Voltage:60V Voltage - Forward(Vf):1.25V Forward Current(If):50mA RDS(on):850m次 Isolation Voltage(Vrms):1.5kV Turn-on time:900us Turn-off time:500us Input Type:AC,DC Operating Temperat"
"U3","AQY282SX","TopLayer","SOP-4_L4.3-W4.4-P2.54-LS7.0-BL","23.4000","44.7500","0","Contact Form:SPST-NO(1 Form A) Load Current:500mA Load Voltage:60V Load Voltage:60V Voltage - Forward(Vf):1.25V Forward Current(If):50mA RDS(on):850m次 Isolation Voltage(Vrms):1.5kV Turn-on time:900us Turn-off time:500us Input Type:AC,DC Operating Temperat"
"U2","PGA113AIDGSR","TopLayer","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL","56.2900","48.1687","270","Amplifier Type:PGA Number of Channels:2 Rail to Rail:Rail-to-Rail Input˙Rail-to-Rail Output Output Current:60mA Current - Supply:1.1mA Operating Temperature:-40⊥~+125⊥ Operating Temperature:-40⊥~+125⊥ Vos - Input Offset Voltage:100uV Input Offset Voltage"
"U1","TPH2504-TR","TopLayer","TSOP65P640X120-14N","71.6300","45.1300","0","Operational Amplifier, 4 Func, 5000uV Offset-Max, CMOS, PDSO14"
"RELAY3","HFD4/5-SR","TopLayer","RELAY-SMD_HFD4-5-SR","89.5300","46.7600","90","Coil Voltage:5V Contact Form:2 Form C: 2C (DPDT-CO) Number of Pins:8 Contact Rating:1A@30VDC˙300mA@125VAC Switching Voltage(Max):250V@AC˙220V@DC Contact Material:AgNi + Gold plated Coil Rated Power:140mW Coil Resistance:178次 Switching Current(Max):2A Oper"
"RELAY2","HFD4/5-SR","TopLayer","RELAY-SMD_HFD4-5-SR","36.8900","48.8300","90","Coil Voltage:5V Contact Form:2 Form C: 2C (DPDT-CO) Number of Pins:8 Contact Rating:1A@30VDC˙300mA@125VAC Switching Voltage(Max):250V@AC˙220V@DC Contact Material:AgNi + Gold plated Coil Rated Power:140mW Coil Resistance:178次 Switching Current(Max):2A Oper"
"RELAY1","HFD4/5-SR","TopLayer","RELAY-SMD_HFD4-5-SR","36.8100","25.1800","90","Coil Voltage:5V Contact Form:2 Form C: 2C (DPDT-CO) Number of Pins:8 Contact Rating:1A@30VDC˙300mA@125VAC Switching Voltage(Max):250V@AC˙220V@DC Contact Material:AgNi + Gold plated Coil Rated Power:140mW Coil Resistance:178次 Switching Current(Max):2A Oper"
"R51","5.1K","TopLayer","FP-RT0805-MFG","93.9800","21.4900","0","125mW Thin Film Resistor ㊣50ppm/⊥ ㊣1% 5.1k次 0805 Chip Resistor - Surface Mount ROHS"
"R50","RT0805BRD0710K1L","TopLayer","R0805","48.6500","20.5913","90","Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R49","0805W8F0000T5E_C17477","TopLayer","R0805","67.3500","32.9995","270","Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R48","FRC0805F3402TS","TopLayer","R0805","80.0800","26.4095","270","Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R47","0805W8F0000T5E_C17477","TopLayer","R0805","65.0800","33.0388","270","Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R46","0805W8F0000T5E_C17477","TopLayer","R0805","90.2905","32.8100","0","Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R45","0805W8F0000T5E_C17477","TopLayer","R0805","94.7695","32.9200","0","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R44","0805W8F0000T5E_C17477","TopLayer","R0805","34.0700","4.6395","90","Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R43","0805W8F0000T5E_C17477","TopLayer","R0805","37.4900","4.7687","270","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R42","0805W8F0000T5E_C17477","TopLayer","R0805","49.0487","5.7800","180","Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R41","0805W8F0000T5E_C17477","TopLayer","R0805","44.9200","4.8287","270","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R40","0805W8F0000T5E_C17477","TopLayer","R0805","47.6200","34.5295","270","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R39","0805W8F0000T5E_C17477","TopLayer","R0805","44.2095","39.4400","180","Type:Thick Film Resistor Resistance:0次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣800ppm/⊥ Temperature Coefficient:㊣800ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R38","0805W8F0000T5E_C17477","TopLayer","R0805","51.3513","39.0500","0","Type:Thick Film Resistor Resistance:0次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣800ppm/⊥ Temperature Coefficient:㊣800ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R37","0805W8F0000T5E_C17477","TopLayer","R0805","47.6700","38.6295","270","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R36","FRC0805F3402TS","TopLayer","R0805","82.3900","26.3487","270","Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R35","0805W8F0000T5E_C17477","TopLayer","R0805","50.9400","24.7895","270","Type:Thick Film Resistors Resistance:20k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R34","0805W8F0000T5E_C17477","TopLayer","R0805","47.8295","26.6600","180","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R33","RT0805BRD0710K1L","TopLayer","R0805","51.0200","28.8295","270","Type:Thick Film Resistor Resistance:5.76k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R32","RT0805BRD0710K1L","TopLayer","R0805","49.2100","43.0295","90","Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R31","0805W8F0000T5E_C17477","TopLayer","R0805","50.7900","52.9695","90","Type:Thick Film Resistors Resistance:20k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R30","0805W8F0000T5E_C17477","TopLayer","R0805","47.8905","49.7600","180","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R29","RT0805BRD0710K1L","TopLayer","R0805","51.0100","48.1895","90","Type:Thick Film Resistor Resistance:5.76k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R27","RT0805BRD0710K1L","TopLayer","R0805","77.4700","26.7387","270","Type:Thick Film Resistor Resistance:3.01k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R26","RT0805BRD0710K1L","TopLayer","R0805","81.8800","46.5595","90","Type:Thick Film Resistor Resistance:3.01k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R25","0805W8F0000T5E_C17477","TopLayer","R0805","77.1800","21.9988","270","Type:Thick Film Resistor Resistance:7.68k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R24","0805W8F0000T5E_C17477","TopLayer","R0805","75.0400","31.7805","270","Type:Thick Film Resistor Resistance:18.7k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R23","RT0805BRD0710K1L","TopLayer","R0805","71.3205","32.7400","0","Type:Thin Film Resistor Resistance:10.1k次 Tolerance:㊣0.1% Tolerance:㊣0.1% Power(Watts):125mW Temperature Coefficient:㊣25ppm/⊥ Temperature Coefficient:㊣25ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R22","RT0805BRD0710K1L","TopLayer","R0805","62.2500","23.6895","270","Type:Thick Film Resistor Resistance:6.98k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R21","RT0805BRD0710K1L","TopLayer","R0805","62.2300","27.9695","90","Type:Thick Film Resistor Resistance:3.57k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R20","RT0805BRD0710K1L","TopLayer","R0805","23.2995","16.9500","180","Type:Thick Film Resistor Resistance:1.5k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R19","0805W8F0000T5E_C17477","TopLayer","R0805","70.6900","39.2605","90","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R18","FRC0805F3402TS","TopLayer","R0805","78.4205","45.1800","180","Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R17","FRC0805F3402TS","TopLayer","R0805","78.4205","47.5100","180","Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R16","0805W8F0000T5E_C17477","TopLayer","R0805","81.6700","41.5487","270","Type:Thick Film Resistor Resistance:7.68k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R15","0805W8F0000T5E_C17477","TopLayer","R0805","74.8700","50.7195","270","Type:Thick Film Resistor Resistance:18.7k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R14","RT0805BRD0710K1L","TopLayer","R0805","71.0805","51.2100","180","Type:Thin Film Resistor Resistance:10.1k次 Tolerance:㊣0.1% Tolerance:㊣0.1% Power(Watts):125mW Temperature Coefficient:㊣25ppm/⊥ Temperature Coefficient:㊣25ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R13","RT0805BRD0710K1L","TopLayer","R0805","62.3500","43.2995","270","Type:Thick Film Resistor Resistance:6.98k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R12","RT0805BRD0710K1L","TopLayer","R0805","62.3500","47.7087","270","Type:Thick Film Resistor Resistance:3.57k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R11","RT0805BRD0710K1L","TopLayer","R0805","30.8600","23.5513","90","Type:Thick Film Resistor Resistance:910k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R10","0805W8F0000T5E_C17477","TopLayer","R0805","30.8100","19.0713","90","Type:Thick Film Resistor Resistance:100k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R9","RT0805BRD0710K1L","TopLayer","R0805","27.4800","29.0695","90","Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R8","0805W8F0000T5E_C17477","TopLayer","R0805","43.5995","26.7600","180","Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R7","RT0805BRD0710K1L","TopLayer","R0805","43.5995","29.1500","180","Type:Thick Film Resistor Resistance:1M次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R6","RT0805BRD0710K1L","TopLayer","R0805","23.5805","37.7500","180","Type:Thick Film Resistor Resistance:1.5k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R5","0805W8F0000T5E_C17477","TopLayer","R0805","43.5995","50.4000","180","Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"
"R4","0805W8F0000T5E_C17477","TopLayer","R0805","30.8100","42.6405","90","Type:Thick Film Resistor Resistance:100k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R3","RT0805BRD0710K1L","TopLayer","R0805","30.8100","47.2295","90","Type:Thick Film Resistor Resistance:910k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R2","RT0805BRD0710K1L","TopLayer","R0805","27.4100","50.5295","90","Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"R1","RT0805BRD0710K1L","TopLayer","R0805","43.5995","52.6500","180","Type:Thick Film Resistor Resistance:1M次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"Q3","2N7002LT1G","TopLayer","ONSC-SOT-23-3-318-08_V","93.3000","37.8500","90","Small Signal MOSFET, 60 V, 115 mA, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q2","2N7002LT1G","TopLayer","ONSC-SOT-23-3-318-08_V","31.2900","6.9000","180","Small Signal MOSFET, 60 V, 115 mA, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"Q1","2N7002LT1G","TopLayer","ONSC-SOT-23-3-318-08_V","40.3000","5.7100","270","Small Signal MOSFET, 60 V, 115 mA, N-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"J4","PZ2.54-2*15","TopLayer","HDR-TH_30P-P2.54-V-M-R2-C15-S2.54-2","47.8700","57.8600","180","Pin Structure:2x15P Pitch:2.54mm Row Spacing:2.54mm Circluar Pins/Square Pins:Pin Header Mounting Type:Through Hole Number of Rows:2 Number of Pins:30P Current Rating:2.5A Length of Mating Pin:6mm Insulation Height:2.54mm Length of End Connection Pin:3mm"
"J3","2.54-2*17","TopLayer","HDR-TH_34P-P2.54-V-M-R2-C17-S2.54-2","50.4100","12.1400","180","2.54mm pitch, 2 rows, 2*17, 34 pins total"
"J2","2.54-2*8P渀_C68234","TopLayer","HDR-TH_16P-P2.54-V-M-R2-C8-S2.54","79.6500","57.7900","180","Pin Structure:2x8P Pitch:2.54mm Row Spacing:2.54mm Circluar Pins/Square Pins:Pin Header Mounting Type:Through Hole Number of Rows:2 Number of Pins:16P Current Rating:3A Voltage Rating (Max):- Length of Mating Pin:5.9mm Insulation Height:2.54mm Length of E"
"D9","1N4148W-7-F","TopLayer","DIOD-SOD123-2_V","89.3100","39.7400","0","Fast Switching Diode, 100 V, 0.15 A,?-65 to 150 degC,?2-Pin?SOD123,?RoHS,?Tape and Reel"
"D8","BAV99LT1G","TopLayer","FP-318-08-IPC_B","62.2500","63.0400","270","DIODE ARRAY 100V 215MA SOT23-3"
"D7","BAV99LT1G","TopLayer","FP-318-08-IPC_B","66.1800","63.0302","270","DIODE ARRAY 100V 215MA SOT23-3"
